Team1,Team2,TotalScore,AutoScore,TeleScore,EndScore
26447,30838,25,8,0,0
32328,30404,47,23,0,0
18039,20176,46,8,0,0
30333,32327,48,12,0,0
32808,22315,53,19,0,0
22689,22212,90,43,0,0
23278,20707,40,6,0,0
13898,30786,50,6,0,0
33509,33055,25,8,0,0
14718,24226,38,0,0,0
23277,13898,11,0,0,0
32327,20709,39,6,0,0
18039,33509,22,6,0,0
22315,32328,20,3,0,0
30838,20176,66,18,0,0
20709,33055,82,29,0,0
32808,24226,66,16,0,0
30404,20707,59,16,0,0
30786,26447,36,12,0,0
22689,23277,57,14,0,0
14718,30333,21,3,0,0
22212,23278,39,11,0,0
32327,30404,35,3,0,0
22689,33509,54,25,0,0
23277,22315,19,0,0,0
20707,14718,42,8,0,0
22212,32328,45,3,0,0
20176,30786,65,24,0,0
20709,18039,41,17,0,0
24226,26447,36,9,0,0
30333,13898,25,3,0,0
33055,32808,80,24,0,0
23278,22689,63,16,0,0
30838,18039,51,11,0,0
20707,26447,21,8,0,0
30333,33509,44,5,0,0
14718,20709,16,6,0,0
32328,32808,82,14,0,0
20176,23277,27,3,0,0
30404,23278,43,3,0,0
22315,33055,69,22,0,0
32327,30786,36,6,0,0
22212,24226,70,11,0,0
13898,30838,56,8,0,0
30404,30333,67,9,0,0
20709,22315,19,3,0,0
30786,32808,59,9,0,0
33509,30838,49,10,0,0
24226,32327,38,3,0,0
26447,23278,13,3,0,0
22689,14718,54,19,0,0
20176,13898,21,6,0,0
33055,22212,93,21,0,0
18039,23277,60,19,0,0
32328,32327,56,11,0,0
22689,20707,71,37,0,0
